3599,SORIANA,SUPER CITY,SUPER CITY JARDIN HIDALGO 2262,2262,NO,CONVENIENCIA,AZCAPOTZALCO,DISTRITO FEDERAL,JARDIN HIDALGO 16 B ENTRE REFORMA Y MIGUEL LERDO DE TEJADA ( DELEG AZCAPOTZALCO ) AZCAPOTZALCO,2070,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,JFASE10,MANUEL,,No
1976,AM PM,AM PM,AM PM GRANJAS,ND,NO,CONVENIENCIA,AZCAPOTZALCO,DISTRITO FEDERAL,AVE DE LAS GRANJAS 751 COL FERRERIA,2310,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.491315,-99.173103,,,,JFASE7,EDUARDO,08-nov-12,No
599,VINO X VINO,VINO X VINO,VINO X VINO LIBRAMIENTO,ND,NO,MAYOREO,LA PIEDAD,MICHOACAN,ND,ND,OCCIDENTE,NORTE,ACTIVO,REVISADO,,,,,,,JFASE6,LUCIANO,,No
1162,WALMART,SUPERAMA,SUPERAMA BARRILACO 3814,3814,NO,AUTOSERVICIOS,MIGUEL HIDALGO,DISTRITO FEDERAL,SIERRA VENTANA 750 COLONIA. LOMAS DE CHAPULTEPEC,1100,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.415665,-99.226313,REQUERIDA,REQUERIDA,CAMBIO DE DELEGACION+,FASE 4,SORAYA,ND,SI
1238,WALMART,SUPERCENTER,WALMART SC AZCAPOTZALCO 3862,3862,NO,AUTOSERVICIOS,AZCAPOTZALCO,DISTRITO FEDERAL,NEXTENGO 78 COL SANTA CRUZ ACAYUCAN,2770,VDM NORTE,CENTRO,ACTIVO,REVISADO,APROXIMADAS,19.472347,-99.192646,REQUERIDA,REQUERIDA,,,EDGAR,ND,SI
1256,WALMART,SUPERCENTER,WALMART SC CUITLAHUAC 2466,2466,NO,AUTOSERVICIOS,AZCAPOTZALCO,DISTRITO FEDERAL,AV CUITLAHUAC 3651 3651 COL NATIVITAS,3500,VDM NORTE,CENTRO,ACTIVO,REVISADO,EXACTAS,19.471567,-99.164649,REQUERIDA,REQUERIDA,,FASE 4,FERNANDO,ND,SI
1072,WALMART,BODEGA AURRERA,BODEGA AURRERA OBSERVATORIO 3803,3803,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,AV OBSERVATORIO 457 COL. LAS AMERICAS,1120,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.399752,-99.209409,REQUERIDA,,,FASE 1,EDGAR,ND,SI
1335,WALMART,SUPERCENTER,WALMART SC TLALPAN 2670,2670,NO,AUTOSERVICIOS,BENITO JUAREZ,DISTRITO FEDERAL,CALZADA DE TLALPAN 1037 COL NATIVITAS,3500,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.380237,-99.140783,REQUERIDA,REQUERIDA,,FASE 4,FERNANDO,ND,SI
1577,ALIANZA,BODEGA ALIANZA,BODEGA ALIANZA OBSERVATORIO,ND,NO,MAYOREO,ALVARO OBREGON,DISTRITO FEDERAL,AV OBSERVATORIO NO 309 COL LAS AMERICAS,1120,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.401248,-99.20295,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
383,LA DIVINA,LA DIVINA,LA DIVINA NATIVITAS 105,105,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,REFUGIO 29 COL NATIVITAS,3500,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.385208,-99.137824,,,,JFASE 1,LUIS,08-oct-12,No
2087,CIRCULO K,CIRCULO K,CIRCULO K NATIVITAS 1002,1002,NO,CONVENIENCIA,BENITO JUAREZ,DISTRITO FEDERAL,CALLE DON LUIS 2 LOC CD COL NATIVITAS,3500,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,,,,No
4056,CASA LEY,CASA LEY,LEY TABACHINES 1083,1083,NO,AUTOSERVICIOS,AHOME,SINALOA,LAZARO CARDENAS ESQ CON DOROTEO ARANGO COL TABACHINES,81200,PACIFICO,NORTE,ACTIVO,REVISADO,EXACTAS,25.789251,-108.975505,,,,FASE 9,DIEGO,27-sep-12,SI
2208,ALIANZA,IGUANA,IGUANA LA ARAGONESA,ND,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,JUANA DE ARCO NO 8 LOCS 1 Y 2 COL MODERNA,3510,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.395528,-99.137485,,,,JFASE1,JUDITH,11-oct-12,No
4063,MZ,MZ,MZ GUASAVE 223,223,NO,AUTOSERVICIOS,GUASAVE,SINALOA,MADERO ESQ CORREGIDORA,ND,PACIFICO,NORTE,ACTIVO,REVISADO,,,,,,,,,,SI
1565,ALIANZA,BODEGA ALIANZA,BODEGA ALIANZA LA HOLANDESA II,ND,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,PLUTARCO ELIAS CALLES NO 1587 LOC B COL PORTALES,3560,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.371546,-99.136949,REQUERIDA,REQUERIDA,,FASE 4,FERNANDO,06-ago-12,SI
112,VINOS Y LICORES LA CAVERNA,VINOS Y LICORES LA CAVERNA,VINOS Y LICORES LA CAVERNA MERCADO,ND,NO,MAYOREO,ZUMPANGO,MEXICO,ND,ND,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,,,,No
3830,ALIANZA,BODEGA ALIANZA,BODEGA ALIANZA SANTA FE,ND,NO,MAYOREO,ALVARO OBREGON,DISTRITO FEDERAL,CAMINO A SANTA FE 440 LOTE 2 COL EL PARAISO,1130,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.389854,-99.210498,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
2111,CIRCULO K,CIRCULO K,CIRCULO K PLAZA LEONES 1041,1041,NO,CONVENIENCIA,ALVARO OBREGON,DISTRITO FEDERAL,BOLULEVARD ADOLFO LOPEZ MATEOS 227 COL LOS ALPES,1010,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,,,,No
271,COSTCO,COSTCO,COSTCO SAN ANTONIO,707,NO,CASH & CARRY,ALVARO OBREGON,DISTRITO FEDERAL,BLVD A LOPEZ MATEOS 1181 COL SAN PEDRO DE LOS PINOS,1180,VDM NORTE,CENTRO,ACTIVO,REVISADO,EXACTAS,19.387088,-99.190499,REQUERIDA,REQUERIDA,,FASE 4,SORAYA,ND,SI
327,LA CASTELLANA,LA CASTELLANA,LA CASTELLANA SAN ANGEL,ND,SI,MAYOREO,ALVARO OBREGON,DISTRITO FEDERAL,AV REVOLUCION 1541 ESQ MARIA LUISA COL SAN ANGEL MUNDO GOURMET,1000,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.351015,-99.190743,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
1619,COMERCIAL MEXICANA,BODEGA COMERCIAL MEXICANA,BODEGA COMERCIAL MEXICANA AZCAPOTZALCO,123,NO,AUTOSERVICIOS,AZCAPOTZALCO,DISTRITO FEDERAL,AV AZCAPOTZALCO NO 527 COL AZCAPOTZALCO,2000,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.477643,-99.186916,REQUERIDA,REQUERIDA,,FASE 5,LUPITA,03-ago-12,SI
3217,CASIBA,CASIBA,CASIBA,ND,NO,MAYOREO,ALVARO OBREGON,DISTRITO FEDERAL,LERDO DE TEJADA NO 140 COL GUADALUPE INN,1020,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,,,,No
2235,ALIANZA,IGUANA,IGUANA LA ESPIGA DE ORO,ND,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,CALZ DE TLALPAN NO 1478 LOCAL COM COL PORTALES ORIENTE,3570,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.390605,-99.138252,,,,JFASE1,JUDITH,11-oct-12,No
2964,PALACIO DE HIERRO,PALACIO DE HIERRO,PALACIO DE HIERRO SANTA FE,204,NO,DEPARTAMENTALES,ALVARO OBREGON,DISTRITO FEDERAL,VASCO DE QUIROGA NO 380 COL VISTA HERMOSA,1376,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.362955,-99.271093,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
639,SORIANA,HIPER SORIANA,HIPER SORIANA CUITLAHUAC 253,253,NO,AUTOSERVICIOS,AZCAPOTZALCO,DISTRITO FEDERAL,AV CUITLAHUAC 372 COL SECTOR NAVAL DEL AZCAPOTZALCO,2800,VDM NORTE,CENTRO,ACTIVO,REVISADO,EXACTAS,19.470876,-99.170728,REQUERIDA,REQUERIDA,,FASE 5,LUPITA,03-ago-12,SI
2229,ALIANZA,IGUANA,IGUANA SUPER IZTACCIHUATL,ND,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,SUR 114 NO 2504 LOC B COL IZTACCIHUATL,3520,NO APLICA,NO APLICA,ACTIVO,REVISADO,APROXIMADAS,19.389912,-99.134902,,,es la direccion pero no se visualiza la tienda,JFASE1,JUDITH,01-nov-12,No
683,SORIANA,HIPER SORIANA,HIPER SORIANA TLALPAN 259,259,NO,AUTOSERVICIOS,COYOACAN,DISTRITO FEDERAL,CALZ DE TLALPAN 2050 COL CAMPESTRE CHURUBUSCO (TAXQUE¥A),4200,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.29487,-99.157171,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,No
4154,LA SEVILLANA GOURMET,LA SEVILLANA GOURMET,LA SEVILLANA GOURMET TABASCO 2000,ND,NO,MAYOREO,NACAJUCA,TABASCO,"PROLONGACION PASEO USUMANCINTA, LOCAL 8,9,10, PLAZA SEDRO, FRAC. BOSQUE DE SAGOYA",ND,SURESTE,SUR,ACTIVO,REVISADO,,,,,,,,,,SI
2921,LIVERPOOL,LIVERPOOL,LIVERPOOL SANTA FE,7,NO,DEPARTAMENTALES,ALVARO OBREGON,DISTRITO FEDERAL,AV VASCO DE QUIROGA NO 3800 COLONIA SANTA FE CENTRO COMERCIAL SANTA FE,1376,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.361517,-99.274592,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
3597,SORIANA,SUPER CITY,SUPER CITY DR VERTIZ 2257,2257,NO,CONVENIENCIA,BENITO JUAREZ,DISTRITO FEDERAL,DR JOSE VERTIZ NO 1137 ESQ CON EJE 6 SUR ( ANGEL URRAZA ) VERTIZ NAVARTE,3600,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,JFASE10,MANUEL,,No
802,SORIANA,HIPER SORIANA,HIPER SORIANA ROSARIO 261,261,NO,AUTOSERVICIOS,AZCAPOTZALCO,DISTRITO FEDERAL,LAZARO CARDENAS 1341 COL UNIDAD DEL ROSARIO,2430,VDM NORTE,CENTRO,ACTIVO,REVISADO,EXACTAS,19.504015,-99.204747,REQUERIDA,REQUERIDA,,FASE 5,LUPITA,09-ago-12,SI
2233,ALIANZA,IGUANA,IGUANA LOS HEROES DE CHURUBUSCO,ND,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,MALINTZIN NO 31 COL PORTALES ORIENTE,3570,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.365863,-99.139781,,,,JFASE1,JUDITH,11-oct-12,No
1980,AM PM,AM PM,AM PM TEZOZOMOC,ND,NO,CONVENIENCIA,AZCAPOTZALCO,DISTRITO FEDERAL,AVENIDA TEZOZOMOC 246 COLONIA SAN PEDRO XALPA,2710,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.482031,-99.198258,,,,JFASE7,EDUARDO,09-nov-12,No
2632,WALMART,BODEGA AURRERA EXPRESS,BAE EXHIBIMEX 1733,1733,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,CALLE 10 132,1180,NO APLICA,NO APLICA,ACTIVO,REVISADO,APROXIMADAS,19.389633,-99.192979,,,"Encontre la calle, pero no la bodega.",JFASE3,LUPITA,26-oct-12,No
1161,WALMART,SUPERAMA,SUPERAMA AXOMIATLA 5817,5817,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,CALZADA DE LAS AGUILAS N1819 COLONIA. MIGUEL HIDALGO,1620,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.342374,-99.248313,REQUERIDA,REQUERIDA,,FASE 4,SORAYA,ND,SI
2413,LA EUROPEA,LA EUROPEA,LA EUROPEA SANTA FE,ND,NO,MAYOREO,ALVARO OBREGON,DISTRITO FEDERAL,VASCO DE QUIROGA 3800 LOCAL 176,1376,VDM SUR,CENTRO,ACTIVO,REVISADO,APROXIMADAS,19.361691,-99.272829,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
4038,WALMART,SUPERAMA,SUPERAMA BONAMPAK,2093,SI,AUTOSERVICIOS,CANCUN,QUINTANA ROO,AV. BONAMPAK SM ZONA HOTELERA MZ 2 LT 1 -01,ND,SURESTE,SUR,ACTIVO,REVISADO,APROXIMADAS,21.159555,-86.820029,,,"No se pudo ubicar el lugar con street view, sin embargo con foursquare se obtuvo esta ubicaci¢n",FASE 6,LUCIANO,09-ago-12,SI
356,LA DIVINA,LA DIVINA,LA DIVINA COPILCO 144,144,NO,MAYOREO,COYOACAN,DISTRITO FEDERAL,AV UNIVERSIDAD 2078 COL COPILCO UNIVERSIDAD,4360,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.336919,-99.184963,,,,JFASE 1,LUIS,08-oct-12,No
4039,CHEDRAUI,CHEDRAUI,CHEDRAUI VILLAS,112,NO,AUTOSERVICIOS,CANCUN,QUINTANA ROO,COL. RESERVA NORTE DEL EJIDO ISLA MUJERES ESQ. TULES SM 248 MZ 11 LT 1110,ND,SURESTE,SUR,ACTIVO,REVISADO,EXACTAS,21.157649,-86.825929,,,,FASE 8,LUPITA,22-ago-12,SI
3775,ALIANZA,BODEGA ALIANZA,BODEGA ALIANZA SURTIDORA DE COYOACAN,39,NO,MAYOREO,COYOACAN,DISTRITO FEDERAL,"HIDALGO NO 55, COL. COYOACAN",4000,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.351275,-99.153366,REQUERIDA,REQUERIDA,,FASE 5,LUIS,06-ago-12,SI
1122,WALMART,BODEGA AURRERA,BODEGA AURRERA SANTA LUCIA 3805,3805,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,AV STA LUCIA 185 COL. ALFONSO XIII,1460,VDM NORTE,CENTRO,ACTIVO,REVISADO,EXACTAS,19.378663,-99.199736,REQUERIDA,REQUERIDA,,FASE 4,SORAYA,ND,SI
473,PALACIO DE HIERRO,PALACIO DE HIERRO,PALACIO DE HIERRO COYOACAN,203,NO,DEPARTAMENTALES,BENITO JUAREZ,DISTRITO FEDERAL,AV COYOACAN NO 2000COL XOCO,3330,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.360915,-99.170472,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
2779,LA DIVINA,LA DIVINA,LA DIVINA MIGUEL ANGEL DE QUEVEDO 143,143,NO,MAYOREO,COYOACAN,DISTRITO FEDERAL,MIGUEL ANGEL DE QUEVEDO NO 310 COL SANTA CATARINA,4000,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,Se busco la tienda pero no se encontro,JFASE 1,LUIS,25-oct-12,No
1309,WALMART,SUPERCENTER,WALMART SC PLATEROS 3852,3852,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,BLVD A LOPZ MATEOS 1701 COL LOMAS DE PLATEROS,1480,VDM NORTE,CENTRO,ACTIVO,REVISADO,EXACTAS,19.369747,-99.193746,REQUERIDA,REQUERIDA,,FASE 4,SORAYA,ND,SI
435,EL CELLER,LA NAVAL,LA NAVAL SELECCION CAMPESTRE,ND,NO,MAYOREO,COYOACAN,DISTRITO FEDERAL,CERRO DE LA LIBERTAD 293 CAMPESTRE CHURUBUSCO,4200,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.345295,-99.134965,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
2223,ALIANZA,IGUANA,IGUANA LA CHISPA,ND,NO,MAYOREO,BENITO JUAREZ,DISTRITO FEDERAL,POPOCATEPETL NO 189 COL PORTALES,3340,NO APLICA,NO APLICA,ACTIVO,REVISADO,EXACTAS,19.361979,-99.154516,,,,JFASE1,JUDITH,11-oct-12,No
1564,ALIANZA,BODEGA ALIANZA,BODEGA ALIANZA SUPER HOLANDESA I,ND,NO,MAYOREO,COYOACAN,DISTRITO FEDERAL,CALZ DE TLALPAN NO 1788 A COL CONTRY CLUB,4220,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.352617,-99.144902,REQUERIDA,REQUERIDA,,FASE 5,LUIS,06-ago-12,SI
2246,DISTRIBUIDORA LAS BARRICAS,LAS BARRICAS,LAS BARRICAS CENTENARIO PUERTA GRANDE,ND,NO,MAYOREO,ALVARO OBREGON,DISTRITO FEDERAL,AV CENTENARIO N 1288 COL LOMAS DE PUERTA GRANDE,1630,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,"Se ubic¢ la direccion pero no se encontro la tienda 19.358175, -99.233750",,,,No
1168,WALMART,SUPERAMA,SUPERAMA DIVISION 3843,3843,NO,AUTOSERVICIOS,COYOACAN,DISTRITO FEDERAL,AV DIVISION DEL NORTE 3651 COLONIA. PEDREGAL SANTA URSULA,4600,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.320759,-99.138935,REQUERIDA,REQUERIDA,,FASE 5,LUIS,06-ago-12,SI
4040,WALMART,BODEGA AURRERA,BODEGA AURRERA VILLAS,1665,NO,AUTOSERVICIOS,CANCUN,QUINTANA ROO,AV. KABAH SM 248 MZ 1 LT 401 -406,ND,SURESTE,SUR,ACTIVO,REVISADO,EXACTAS,21.171538,-86.859184,,,,FASE 7,RAQUEL,01-nov-12,SI
3308,ULTRAMARINOS COLISEO,ULTRAMARINOS COLISEO,ULTRAMARINOS COLISEO,ND,NO,MAYOREO,CUAUHTEMOC,DISTRITO FEDERAL,CALLE MADERO 40 LOC A COL CENTRO,6000,NO APLICA,NO APLICA,ACTIVO,REVISADO,,,,,,,,,,No
1281,WALMART,SUPERCENTER,WALMART SC LAS AGUILAS 3876,3876,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,CALZ DE LAS AGUILAS 820 COL LAS AGUILAS,1710,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.353322,-99.215583,REQUERIDA,REQUERIDA,,FASE 4,SORAYA,ND,SI
1159,WALMART,SUPERAMA,SUPERAMA AV TOLUCA 3915,3915,NO,AUTOSERVICIOS,ALVARO OBREGON,DISTRITO FEDERAL,AV TOLUCA NO 511 COLONIA. OLIVAR DE LOS PADRES,1780,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.339469,-99.218719,REQUERIDA,REQUERIDA,,FASE 4,SORAYA,ND,SI
1165,WALMART,SUPERAMA,SUPERAMA CHURUBUSCO 3813,3813,NO,AUTOSERVICIOS,COYOACAN,DISTRITO FEDERAL,CERRO DE LAS TORRES 229 COLONIA. CAMPESTRE CHURUBUSCO,4200,VDM SUR,CENTRO,ACTIVO,REVISADO,EXACTAS,19.344913,-99.135205,REQUERIDA,REQUERIDA,,FASE 1,EDGAR,ND,SI
